% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 02:04
% Table:              np_outflow_concentraion0 - np_outflow_concentraion (np_outflow_concentraion)
% Q_inject_design        t (s)                    np_outflow_concentraion (mol/(m*s))
0.1                      0                        5.865199050176074E-36
0.1                      1                        2.0773946376595124E-32
0.1                      2                        1.3580384091105264E-30
0.1                      3                        5.6077084252734075E-31
0.1                      4                        -7.35522943904408E-29
0.1                      5                        4.312312438041319E-28
0.1                      6                        -1.724491916596809E-28
0.1                      7                        -2.3331988532037652E-27
0.1                      8                        9.953014469579176E-27
0.1                      9                        -7.387224221479116E-27
0.1                      10                       -4.629284623851206E-26
0.1                      11                       5.370515128134738E-26
0.1                      12                       1.652696438431496E-25
0.1                      13                       1.7438307741729003E-26
0.1                      14                       -2.7889671787633564E-25
0.1                      15                       -3.3813854656654864E-25
0.1                      16                       1.8238375544643104E-25
0.1                      17                       1.1484949095866962E-24
0.1                      18                       1.8402243509620257E-24
0.1                      19                       1.2560833764784071E-24
0.1                      20                       -1.3933455639832E-24
0.1                      21                       -6.278987716097965E-24
0.1                      22                       -1.2282840869215713E-23
0.1                      23                       -1.6389560858017756E-23
0.1                      24                       -1.3572698206790672E-23
0.1                      25                       2.0813917101984905E-24
0.1                      26                       3.4556350963513535E-23
0.1                      27                       8.247131748752145E-23
0.1                      28                       1.382564529608871E-22
0.1                      29                       1.9302573214684027E-22
0.1                      30                       2.4776345362895365E-22
0.1                      31                       3.1577943119414427E-22
0.1                      32                       4.122365292756129E-22
0.1                      33                       5.08430505943178E-22
0.1                      34                       4.343737426017818E-22
0.1                      35                       -4.0832845926852235E-22
0.1                      36                       -3.104449816402947E-21
0.1                      37                       -7.37912476025752E-21
0.1                      38                       -1.2661531366950302E-20
0.1                      39                       -1.769902273397363E-20
0.1                      40                       -1.2224190394671381E-20
0.1                      41                       7.186704770556334E-21
0.1                      42                       8.689826377249833E-20
0.1                      43                       2.350671303458544E-19
0.1                      44                       6.039778230464604E-19
0.1                      45                       1.1900831499346844E-18
0.1                      46                       2.2938492853773516E-18
0.1                      47                       3.705738679373231E-18
0.1                      48                       4.927296453615146E-18
0.1                      49                       4.5804187051153456E-18
0.1                      50                       -5.025045783686601E-18
0.1                      51                       -2.941089519420092E-17
0.1                      52                       -1.0768165471417317E-16
0.1                      53                       -2.5741169013123176E-16
0.1                      54                       -6.207466905203339E-16
0.1                      55                       -1.2395208244302812E-15
0.1                      56                       -2.512448127261184E-15
0.1                      57                       -4.46652078364589E-15
0.1                      58                       -7.813168429549323E-15
0.1                      59                       -1.2081644060432051E-14
0.1                      60                       -1.658420803693735E-14
0.1                      61                       -2.1081861781132214E-14
0.1                      62                       -2.3128167614428427E-14
0.1                      63                       -1.7387474190858297E-14
0.1                      64                       1.0689244352472E-14
0.1                      65                       8.577327266999317E-14
0.1                      66                       2.5413497670212226E-13
0.1                      67                       6.080233916901396E-13
0.1                      68                       1.324723267331416E-12
0.1                      69                       2.700189677179534E-12
0.1                      70                       5.208803954158106E-12
0.1                      71                       9.655636393419741E-12
0.1                      72                       1.7281600299402337E-11
0.1                      73                       3.014534574363908E-11
0.1                      74                       5.140317682722373E-11
0.1                      75                       8.570444039005964E-11
0.1                      76                       1.3989757344738225E-10
0.1                      77                       2.2419304287434737E-10
0.1                      78                       3.538181901764228E-10
0.1                      79                       5.507769899240917E-10
0.1                      80                       8.460791152276014E-10
0.1                      81                       1.2826431804182638E-9
0.1                      82                       1.9200342637912806E-9
0.1                      83                       2.840094167561491E-9
0.1                      84                       4.152892166840909E-9
0.1                      85                       6.026549252656017E-9
0.1                      86                       8.65076369963246E-9
0.1                      87                       1.2259298455243935E-8
0.1                      88                       1.7188188423348058E-8
0.1                      89                       2.3867704291376294E-8
0.1                      90                       3.279287669052906E-8
0.1                      91                       4.457899599234108E-8
0.1                      92                       5.997133305246151E-8
0.1                      93                       7.985944823550194E-8
0.1                      94                       1.0528842246519078E-7
0.1                      95                       1.374804147209754E-7
0.1                      96                       1.778766506780008E-7
0.1                      97                       2.279859874039755E-7
0.1                      98                       2.895060467808325E-7
0.1                      99                       3.642545790450693E-7
0.1                      100                      4.5413561785007565E-7
0.1                      101                      5.610836238826262E-7
0.1                      102                      6.878986594780018E-7
0.1                      103                      8.353848538580353E-7
0.1                      104                      1.0056474232893172E-6
0.1                      105                      1.1994493365644445E-6
0.1                      106                      1.4182863051670652E-6
0.1                      107                      1.6635469136705454E-6
0.1                      108                      1.93494750422625E-6
0.1                      109                      2.232772403846256E-6
0.1                      110                      2.5557732829508127E-6
0.1                      111                      2.9031504419831085E-6
0.1                      112                      3.2720307764746493E-6
0.1                      113                      3.659519523300413E-6
0.1                      114                      4.062509566488882E-6
0.1                      115                      4.4679971900799155E-6
0.1                      116                      4.8795135660334586E-6
0.1                      117                      5.297058694349504E-6
0.1                      118                      5.7046282988648295E-6
0.1                      119                      6.109736858043695E-6
0.1                      120                      6.512819524217401E-6
0.1                      121                      6.899710280236772E-6
0.1                      122                      7.273377460537572E-6
0.1                      123                      7.636241394974027E-6
0.1                      124                      7.982476164340885E-6
0.1                      125                      8.311110077081651E-6
0.1                      126                      8.624330862711587E-6
0.1                      127                      8.921579475513204E-6
0.1                      128                      9.202429736752162E-6
0.1                      129                      9.467269948010068E-6
0.1                      130                      9.71736035918285E-6
0.1                      131                      9.955035976552702E-6
0.1                      132                      1.0178694986209993E-5
0.1                      133                      1.0389537967828992E-5
0.1                      134                      1.0592983224412735E-5
0.1                      135                      1.0785834814978399E-5
0.1                      136                      1.0968472906195712E-5
0.1                      137                      1.1148933800338724E-5
0.1                      138                      1.1322924872248874E-5
0.1                      139                      1.1490446121926148E-5
0.1                      140                      1.1651497549370564E-5
0.1                      141                      1.1806079154582108E-5
0.1                      142                      1.1954190937560789E-5
0.1                      143                      1.2098844788312843E-5
0.1                      144                      1.223899919698528E-5
0.1                      145                      1.2373814537652196E-5
0.1                      146                      1.2503290810313583E-5
0.1                      147                      1.262742801496946E-5
0.1                      148                      1.2746226151619805E-5
0.1                      149                      1.2860682985790032E-5
0.1                      150                      1.2971483750923622E-5
0.1                      151                      1.3077598731569991E-5
0.1                      152                      1.3179027927729125E-5
0.1                      153                      1.327577133940103E-5
0.1                      154                      1.3367828966585697E-5
0.1                      155                      1.3455399245244685E-5
0.1                      156                      1.3539648204009022E-5
0.1                      157                      1.3619622570521316E-5
0.1                      158                      1.3695322344781572E-5
0.1                      159                      1.376674752678979E-5
0.1                      160                      1.3833898116545966E-5
0.1                      161                      1.3896774114050106E-5
0.1                      162                      1.39572475665942E-5
0.1                      163                      1.4014355673407669E-5
0.1                      164                      1.4067807490126411E-5
0.1                      165                      1.4117603016750427E-5
0.1                      166                      1.4163742253279717E-5
0.1                      167                      1.4206225199714272E-5
0.1                      168                      1.4246722222641545E-5
