% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 02:04
% Table:              Table 61 - NP_retention_mass_lowPM (np_retention_mass_lowPM)
% Q_inject_design        t (s)                    np_retention_mass_lowPM (mol/m)
0.1                      0                        1.6125907100495236E-13
0.1                      1                        2.6976244199411553E-12
0.1                      2                        -2.0394382920910335E-10
0.1                      3                        9.49210160746192E-10
0.1                      4                        -1.7226698672209724E-9
0.1                      5                        -1.844111031102604E-8
0.1                      6                        -2.9839803696261316E-8
0.1                      7                        -1.9449389696865625E-9
0.1                      8                        9.292459729788783E-8
0.1                      9                        2.5541240376735353E-7
0.1                      10                       5.121721955381258E-7
0.1                      11                       8.565114049937668E-7
0.1                      12                       1.2813125808721236E-6
0.1                      13                       1.7859700794490498E-6
0.1                      14                       2.346873760149441E-6
0.1                      15                       2.963978131933175E-6
0.1                      16                       3.6298782643793125E-6
0.1                      17                       4.331238495098993E-6
0.1                      18                       5.0741636331948135E-6
0.1                      19                       5.850896763429519E-6
0.1                      20                       6.656920837422921E-6
0.1                      21                       7.492295542298491E-6
0.1                      22                       8.354492502793215E-6
0.1                      23                       9.240797173706472E-6
0.1                      24                       1.0152805531509514E-5
0.1                      25                       1.1085766977455987E-5
0.1                      26                       1.2035573577868696E-5
0.1                      27                       1.3010254072959592E-5
0.1                      28                       1.4004039533420107E-5
0.1                      29                       1.5015672375638778E-5
0.1                      30                       1.604692978912933E-5
0.1                      31                       1.709573060960817E-5
0.1                      32                       1.816257259374249E-5
0.1                      33                       1.924807336880997E-5
0.1                      34                       2.034952179960382E-5
0.1                      35                       2.1465953707724734E-5
0.1                      36                       2.260072517661265E-5
0.1                      37                       2.375308163971699E-5
0.1                      38                       2.492122758974817E-5
0.1                      39                       2.610587308937433E-5
0.1                      40                       2.7306761308720017E-5
0.1                      41                       2.85244247307023E-5
0.1                      42                       2.9761661628682283E-5
0.1                      43                       3.101797714216739E-5
0.1                      44                       3.2296670557964865E-5
0.1                      45                       3.359628883109976E-5
0.1                      46                       3.4915666364417096E-5
0.1                      47                       3.6255996359250894E-5
0.1                      48                       3.762119916714535E-5
0.1                      49                       3.901002077352988E-5
0.1                      50                       4.0423665386584206E-5
0.1                      51                       4.186098789481705E-5
