% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 8 2020, 00:39
% Table:              tce_outflow_concentration0.5 - tce_outflow_concentraion (tce_outflow_concentraion)
% Q_inject_design        t (s)                    tce_outflow_concentraion (mol/(m*s))
0.5                      0                        1.5651812836463338E-13
0.5                      1                        8.318869051424363E-8
0.5                      2                        4.47805229524533E-7
0.5                      3                        6.027580849230002E-7
0.5                      4                        6.8323385344892E-7
0.5                      5                        7.391391600630584E-7
0.5                      6                        7.884410811534133E-7
0.5                      7                        8.340464058475507E-7
0.5                      8                        8.871447443057968E-7
0.5                      9                        9.603076647802622E-7
0.5                      10                       1.0384897864673768E-6
0.5                      11                       1.0918223494156348E-6
0.5                      12                       1.115981446034381E-6
0.5                      13                       1.128848377443779E-6
0.5                      14                       1.1405827188779275E-6
0.5                      15                       1.1514545941802058E-6
0.5                      16                       1.161667547716481E-6
0.5                      17                       1.1737563968696476E-6
0.5                      18                       1.186403552831805E-6
0.5                      19                       1.1889634473184342E-6
0.5                      20                       1.1823776604678127E-6
0.5                      21                       1.16359754674094E-6
0.5                      22                       1.125582976566847E-6
0.5                      23                       1.0793904988470508E-6
0.5                      24                       1.0351323628580892E-6
0.5                      25                       9.922413720294862E-7
0.5                      26                       9.514617949680007E-7
0.5                      27                       9.149002979078666E-7
0.5                      28                       8.829980275952766E-7
0.5                      29                       8.545323511411111E-7
0.5                      30                       8.289047970638176E-7
0.5                      31                       8.059404962558437E-7
0.5                      32                       7.85006749766758E-7
0.5                      33                       7.658748381418561E-7
0.5                      34                       7.482930894336843E-7
0.5                      35                       7.320928520431399E-7
0.5                      36                       7.169038273679001E-7
0.5                      37                       7.02606738477258E-7
0.5                      38                       6.892607424258963E-7
0.5                      39                       6.76628774152838E-7
0.5                      40                       6.647517200542199E-7
0.5                      41                       6.535735248168935E-7
0.5                      42                       6.42966970559184E-7
0.5                      43                       6.330066215016282E-7
0.5                      44                       6.235578362249563E-7
0.5                      45                       6.145606276899768E-7
0.5                      46                       6.060763702585949E-7
0.5                      47                       5.978261005680629E-7
0.5                      48                       5.898832145680884E-7
0.5                      49                       5.822581346477908E-7
0.5                      50                       5.748102312995661E-7
0.5                      51                       5.676102547438236E-7
0.5                      52                       5.606582049805631E-7
0.5                      53                       5.539540820097846E-7
0.5                      54                       5.474978858314884E-7
0.5                      55                       5.412175902239578E-7
0.5                      56                       5.35122992570018E-7
0.5                      57                       5.292420207546055E-7
0.5                      58                       5.235746747777198E-7
0.5                      59                       5.18120954639362E-7
0.5                      60                       5.128185130672753E-7
0.5                      61                       5.074513415235216E-7
0.5                      62                       5.021991246153867E-7
0.5                      63                       4.9706186234287E-7
0.5                      64                       4.92039554705972E-7
0.5                      65                       4.871322017046926E-7
0.5                      66                       4.823185928113491E-7
0.5                      67                       4.776053989970457E-7
0.5                      68                       4.7299820392251487E-7
0.5                      69                       4.684970075877561E-7
0.5                      70                       4.641018099927697E-7
0.5                      71                       4.598141265322723E-7
0.5                      72                       4.556371153007371E-7
0.5                      73                       4.515678556994897E-7
0.5                      74                       4.476063477285299E-7
0.5                      75                       4.437525913878578E-7
0.5                      76                       4.400065866774731E-7
0.5                      77                       4.363683335973763E-7
0.5                      78                       4.3283783214756714E-7
0.5                      79                       4.2941508232804585E-7
0.5                      80                       4.2610008413881194E-7
0.5                      81                       4.2289283757986586E-7
0.5                      82                       4.197035884175838E-7
0.5                      83                       4.164453583722188E-7
0.5                      84                       4.1325284067440885E-7
0.5                      85                       4.101260353241541E-7
0.5                      86                       4.070649423214538E-7
0.5                      87                       4.0406956166630887E-7
0.5                      88                       4.0113989335871844E-7
0.5                      89                       3.9827593739868324E-7
0.5                      90                       3.9547769378620305E-7
0.5                      91                       3.927451625212777E-7
0.5                      92                       3.900783436039073E-7
0.5                      93                       3.874135522627344E-7
0.5                      94                       3.847205045673782E-7
0.5                      95                       3.8206860018165176E-7
0.5                      96                       3.794578391055555E-7
0.5                      97                       3.768882213390891E-7
0.5                      98                       3.7435974688225253E-7
0.5                      99                       3.7187241573504607E-7
0.5                      100                      3.694262278974697E-7
0.5                      101                      3.67021183369523E-7
0.5                      102                      3.646572821512065E-7
0.5                      103                      3.623345242425199E-7
0.5                      104                      3.60030740001324E-7
