% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 8 2020, 00:39
% Table:              TCE_reacted 0.5 - tce_reacted_mass (tce_reacted_mass)
% Q_inject_design        t (s)                    The reacted TCE (mol/m)
0.5                      0                        1.5857102939245014E-6
0.5                      1                        1.5860177079290616E-6
0.5                      2                        1.5928040818470873E-6
0.5                      3                        1.6055933034071123E-6
0.5                      4                        1.6209760437608753E-6
0.5                      5                        1.6379015604489298E-6
0.5                      6                        1.656045632448148E-6
0.5                      7                        1.6752895428217273E-6
0.5                      8                        1.6956567596728534E-6
0.5                      9                        1.7175032289023115E-6
0.5                      10                       1.7411613501563658E-6
0.5                      11                       1.7662839767653602E-6
0.5                      12                       1.7921902840087908E-6
0.5                      13                       1.8184003420203263E-6
0.5                      14                       1.8448405302274334E-6
0.5                      15                       1.8714757072228381E-6
0.5                      16                       1.8983337098614557E-6
0.5                      17                       1.925399079580969E-6
0.5                      18                       1.952749987805781E-6
0.5                      19                       1.98024582587474E-6
0.5                      20                       2.0076532280848604E-6
0.5                      21                       2.034767092988862E-6
0.5                      22                       2.0611959404360898E-6
0.5                      23                       2.0866137288126336E-6
0.5                      24                       2.1109846896015844E-6
0.5                      25                       2.134345655027716E-6
0.5                      26                       2.1567376795375763E-6
0.5                      27                       2.1782369509484848E-6
0.5                      28                       2.1989552466237365E-6
0.5                      29                       2.218992669683474E-6
0.5                      30                       2.2384188157884714E-6
0.5                      31                       2.2572875912746495E-6
0.5                      32                       2.27565585760817E-6
0.5                      33                       2.2935559790520324E-6
0.5                      34                       2.3110298338140407E-6
0.5                      35                       2.3281211058305188E-6
0.5                      36                       2.3448491508863554E-6
0.5                      37                       2.3612352558357742E-6
0.5                      38                       2.377303867207927E-6
0.5                      39                       2.3931016360449804E-6
0.5                      40                       2.40861916429371E-6
0.5                      41                       2.4238696345686415E-6
0.5                      42                       2.438882964896835E-6
0.5                      43                       2.453641619894854E-6
0.5                      44                       2.468179871636768E-6
0.5                      45                       2.4825129894227787E-6
0.5                      46                       2.4966253508190383E-6
0.5                      47                       2.5105580465920377E-6
0.5                      48                       2.5243002656599294E-6
0.5                      49                       2.537854180889438E-6
0.5                      50                       2.551268944672593E-6
0.5                      51                       2.564519828610744E-6
0.5                      52                       2.577606832703383E-6
0.5                      53                       2.590529956950381E-6
0.5                      54                       2.603289201352958E-6
0.5                      55                       2.6159228106045437E-6
0.5                      56                       2.6284255824630246E-6
0.5                      57                       2.6407826876978516E-6
0.5                      58                       2.6529941263082047E-6
