% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 10:14
% Table:              tce_retention_mass_0.02 - tce_outflow_mass_Inte (tce_outflow_Inte)
% Q_inject_design        t (s)                    tce_retention_mass (mol/m)
0.02                     0                        2.3439428970582513E-4
0.02                     1                        2.3439428975809525E-4
0.02                     2                        2.343942894797005E-4
0.02                     3                        2.3439428772604836E-4
0.02                     4                        2.3439429465488317E-4
0.02                     5                        2.3439431149400598E-4
0.02                     6                        2.3439430816911302E-4
0.02                     7                        2.343942148035751E-4
0.02                     8                        2.3439393180756953E-4
0.02                     9                        2.3439334114635203E-4
0.02                     10                       2.3439229879119484E-4
0.02                     11                       2.3439068226503273E-4
0.02                     12                       2.3438840184159638E-4
0.02                     13                       2.3438535093842455E-4
0.02                     14                       2.343814406246795E-4
0.02                     15                       2.343765927183623E-4
0.02                     16                       2.343707443159286E-4
0.02                     17                       2.3436384400290356E-4
0.02                     18                       2.3435584908408657E-4
0.02                     19                       2.343467262299867E-4
0.02                     20                       2.3433644499764076E-4
0.02                     21                       2.3432498888656172E-4
0.02                     22                       2.343123557181003E-4
0.02                     23                       2.3429853648901817E-4
0.02                     24                       2.3428353369620792E-4
0.02                     25                       2.3426734041988103E-4
0.02                     26                       2.3424996068235955E-4
0.02                     27                       2.3423140251072058E-4
0.02                     28                       2.342116626921697E-4
0.02                     29                       2.3419076365215448E-4
0.02                     30                       2.3416869800348057E-4
0.02                     31                       2.3414549008777733E-4
0.02                     32                       2.3412113945616157E-4
0.02                     33                       2.3409566407791421E-4
0.02                     34                       2.3406907367257403E-4
0.02                     35                       2.340413770949249E-4
0.02                     36                       2.3401259440119165E-4
0.02                     37                       2.3398272521038346E-4
0.02                     38                       2.339517985553484E-4
0.02                     39                       2.3391980600441655E-4
0.02                     40                       2.3388678357250554E-4
0.02                     41                       2.33852716665474E-4
0.02                     42                       2.338176747072266E-4
0.02                     43                       2.3378163273675323E-4
0.02                     44                       2.3374459049634182E-4
0.02                     45                       2.3370654798599222E-4
0.02                     46                       2.3366755783822392E-4
0.02                     47                       2.3362761993547205E-4
0.02                     48                       2.335867133277335E-4
0.02                     49                       2.3354483801500846E-4
0.02                     50                       2.3350202838198715E-4
0.02                     51                       2.3345834553727138E-4
0.02                     52                       2.334137372190575E-4
0.02                     53                       2.3336820342734492E-4
0.02                     54                       2.3332174540987216E-4
0.02                     55                       2.332744714589481E-4
0.02                     56                       2.3322631341426555E-4
0.02                     57                       2.3317727127582404E-4
0.02                     58                       2.3312734504362417E-4
0.02                     59                       2.330766006154302E-4
0.02                     60                       2.33025034392248E-4
0.02                     61                       2.3297262233787748E-4
0.02                     62                       2.3291936445231828E-4
0.02                     63                       2.3286529024872231E-4
0.02                     64                       2.3281044644480125E-4
0.02                     65                       2.327547917832592E-4
0.02                     66                       2.3269832626409594E-4
0.02                     67                       2.326410521918033E-4
0.02                     68                       2.3258305084656572E-4
0.02                     69                       2.3252427049415023E-4
0.02                     70                       2.3246471113455677E-4
0.02                     71                       2.3240437276778503E-4
0.02                     72                       2.3234330696034506E-4
0.02                     73                       2.3228150834098645E-4
0.02                     74                       2.3221895972612942E-4
