% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 8 2020, 00:38
% Table:              tce_retention_mass_0.5 - Global Evaluation 14 (TimeInt)
% Q_inject_design        t (s)                    tce_retention_mass (mol/m)
0.5                      0                        2.3439428970555937E-4
0.5                      1                        2.3438142270032248E-4
0.5                      2                        2.3409304721401107E-4
0.5                      3                        2.335456865585255E-4
0.5                      4                        2.3288467990602844E-4
0.5                      5                        2.3215585425741242E-4
0.5                      6                        2.313736176781854E-4
0.5                      7                        2.305431501962898E-4
0.5                      8                        2.2966329931086465E-4
0.5                      9                        2.2871898626146E-4
0.5                      10                       2.2769516590568758E-4
0.5                      11                       2.266041153006468E-4
0.5                      12                       2.254735544515541E-4
0.5                      13                       2.2432494399959307E-4
0.5                      14                       2.231633524257932E-4
0.5                      15                       2.2199105077187105E-4
0.5                      16                       2.2080731796534397E-4
0.5                      17                       2.19613056525143E-4
0.5                      18                       2.1840500610931934E-4
0.5                      19                       2.1718897084492018E-4
0.5                      20                       2.159754655436273E-4
0.5                      21                       2.1477421641591003E-4
0.5                      22                       2.1360246700638996E-4
0.5                      23                       2.1247467858589113E-4
0.5                      24                       2.113929274301345E-4
0.5                      25                       2.1035576925189996E-4
0.5                      26                       2.0936139396802937E-4
0.5                      27                       2.0840658317260768E-4
0.5                      28                       2.0748653234534272E-4
0.5                      29                       2.0659684445808554E-4
0.5                      30                       2.0573440854030535E-4
0.5                      31                       2.0489684349569824E-4
0.5                      32                       2.0408165244225091E-4
0.5                      33                       2.0328736709442703E-4
0.5                      34                       2.02512086368558E-4
0.5                      35                       2.0175394948832742E-4
0.5                      36                       2.010120556452235E-4
0.5                      37                       2.0028543895774005E-4
0.5                      38                       1.9957299362449382E-4
0.5                      39                       1.9887271329563903E-4
0.5                      40                       1.9818500515161413E-4
0.5                      41                       1.975092419819585E-4
0.5                      42                       1.96844000328631E-4
0.5                      43                       1.9619011450075453E-4
0.5                      44                       1.955460467966469E-4
0.5                      45                       1.9491111212124925E-4
0.5                      46                       1.9428601141384188E-4
0.5                      47                       1.936689454519763E-4
0.5                      48                       1.93060387615522E-4
0.5                      49                       1.9246022881289E-4
0.5                      50                       1.918662098510891E-4
0.5                      51                       1.9127946732232353E-4
0.5                      52                       1.907000012265938E-4
0.5                      53                       1.9012781156390007E-4
0.5                      54                       1.895628983342411E-4
0.5                      55                       1.8900357038307604E-4
0.5                      56                       1.8845005775007656E-4
0.5                      57                       1.8790301617378275E-4
0.5                      58                       1.8736244565419543E-4
0.5                      59                       1.868283461913133E-4
0.5                      60                       1.8630020678899107E-4
0.5                      61                       1.8577625704851682E-4
0.5                      62                       1.852579696588882E-4
0.5                      63                       1.8474534462010493E-4
0.5                      64                       1.842383819321676E-4
0.5                      65                       1.8373708159507535E-4
0.5                      66                       1.8323985463451704E-4
0.5                      67                       1.827472008024019E-4
0.5                      68                       1.8225953839541768E-4
0.5                      69                       1.8177686741356454E-4
0.5                      70                       1.8129918785684258E-4
0.5                      71                       1.808255581084051E-4
0.5                      72                       1.8035401583136012E-4
0.5                      73                       1.7988637579045708E-4
0.5                      74                       1.7942263798569665E-4
0.5                      75                       1.7896280241707816E-4
0.5                      76                       1.785068690846017E-4
0.5                      77                       1.7805483798826724E-4
0.5                      78                       1.7760670912807513E-4
0.5                      79                       1.771624825040253E-4
0.5                      80                       1.7672215811611748E-4
0.5                      81                       1.762857359643519E-4
0.5                      82                       1.758521617339487E-4
0.5                      83                       1.754204137183868E-4
0.5                      84                       1.749920741167223E-4
