% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:34
% Table:              np_outflow_concentraion0 - np_outflow_concentraion (np_outflow_concentraion)
% lowPM_per              t (s)                    np_outflow_concentraion (mol/(m*s))
1.0E-10                  0                        5.875835785977477E-36
1.0E-10                  1                        5.0788124583749824E-33
1.0E-10                  2                        -3.45171840083053E-31
1.0E-10                  3                        -2.53463049150339E-30
1.0E-10                  4                        4.527659672825964E-29
1.0E-10                  5                        -1.6313834615363715E-28
1.0E-10                  6                        3.2890263096152943E-28
1.0E-10                  7                        -1.01204484118813E-27
1.0E-10                  8                        1.8213985425086405E-27
1.0E-10                  9                        -1.4523848298853952E-27
1.0E-10                  10                       -8.666887317235726E-29
1.0E-10                  11                       7.146647968491943E-27
1.0E-10                  12                       -3.3427191979626115E-26
1.0E-10                  13                       -7.23145315856173E-27
1.0E-10                  14                       2.543405874221321E-25
1.0E-10                  15                       1.0634564417247666E-25
1.0E-10                  16                       -1.1413151735464055E-24
1.0E-10                  17                       -1.0138968298086575E-24
1.0E-10                  18                       2.5601788555770328E-25
1.0E-10                  19                       1.8392904215600915E-24
1.0E-10                  20                       1.110430088834556E-24
1.0E-10                  21                       -6.232205379494115E-26
1.0E-10                  22                       -4.858152740222333E-25
1.0E-10                  23                       1.2320492884905821E-24
1.0E-10                  24                       -3.335721155756893E-25
1.0E-10                  25                       -6.817375734012394E-24
1.0E-10                  26                       -1.3345017310714377E-23
1.0E-10                  27                       2.043598643852642E-24
1.0E-10                  28                       4.1401747345284065E-23
1.0E-10                  29                       8.871055510536265E-23
1.0E-10                  30                       4.8277334873783396E-23
1.0E-10                  31                       -9.205839340755966E-23
1.0E-10                  32                       -3.353411652639526E-22
1.0E-10                  33                       -3.39580770357974E-22
1.0E-10                  34                       -3.0013313378860676E-24
1.0E-10                  35                       8.703497938214515E-22
1.0E-10                  36                       1.4637499162626474E-21
1.0E-10                  37                       1.1450676422249271E-21
1.0E-10                  38                       -9.821261581441874E-22
1.0E-10                  39                       -4.330176279105476E-21
1.0E-10                  40                       -6.347635067555788E-21
1.0E-10                  41                       -4.36155373640556E-21
1.0E-10                  42                       5.30987705723826E-21
1.0E-10                  43                       1.762145025845168E-20
1.0E-10                  44                       2.6997416309589125E-20
1.0E-10                  45                       1.6789261637341794E-20
1.0E-10                  46                       5.521188052481198E-22
1.0E-10                  47                       -1.9065040610763973E-20
1.0E-10                  48                       -4.3462122823289085E-20
1.0E-10                  49                       -4.029546296897715E-20
1.0E-10                  50                       -1.8076097706070017E-20
1.0E-10                  51                       1.4600754817633572E-20
1.0E-10                  52                       3.7560314033197395E-20
1.0E-10                  53                       6.11968538501459E-20
1.0E-10                  54                       6.03146243568676E-20
1.0E-10                  55                       2.1934576526263333E-20
1.0E-10                  56                       -4.206141959435564E-20
1.0E-10                  57                       -5.359849816546058E-20
1.0E-10                  58                       -4.333592773680254E-20
1.0E-10                  59                       -4.747274650317256E-21
1.0E-10                  60                       8.318774411811913E-20
1.0E-10                  61                       2.0865070436220633E-19
1.0E-10                  62                       2.255053385317925E-19
1.0E-10                  63                       1.095710432821376E-19
1.0E-10                  64                       -9.242583281382607E-20
1.0E-10                  65                       -3.35289299297373E-19
1.0E-10                  66                       -6.400417297222541E-19
1.0E-10                  67                       -7.306050923890339E-19
1.0E-10                  68                       -2.227163706678307E-19
1.0E-10                  69                       6.396968089030329E-19
1.0E-10                  70                       2.0297155197270934E-18
1.0E-10                  71                       3.9308561758023045E-18
1.0E-10                  72                       6.207013339611684E-18
1.0E-10                  73                       8.179598349204123E-18
1.0E-10                  74                       1.0184366272781866E-17
1.0E-10                  75                       1.3037469926695098E-17
1.0E-10                  76                       1.736830678818695E-17
1.0E-10                  77                       2.2692963092310595E-17
1.0E-10                  78                       3.282199426798743E-17
1.0E-10                  79                       4.66222995299231E-17
1.0E-10                  80                       6.249768550522401E-17
1.0E-10                  81                       7.61423576056526E-17
1.0E-10                  82                       8.98539219697148E-17
1.0E-10                  83                       9.744328379474617E-17
1.0E-10                  84                       9.674922865477491E-17
1.0E-10                  85                       9.049748598035212E-17
1.0E-10                  86                       1.3972803672666022E-16
1.0E-10                  87                       2.1691657914767046E-16
1.0E-10                  88                       3.5186113673952187E-16
1.0E-10                  89                       6.009388459307502E-16
1.0E-10                  90                       1.0933201166274342E-15
1.0E-10                  91                       1.8826290244717675E-15
1.0E-10                  92                       3.0728104191193258E-15
1.0E-10                  93                       4.715109807414954E-15
1.0E-10                  94                       6.69806059477256E-15
1.0E-10                  95                       8.567230969999162E-15
1.0E-10                  96                       9.305601043398965E-15
1.0E-10                  97                       6.882145917124295E-15
1.0E-10                  98                       -1.9051586368165804E-15
1.0E-10                  99                       -1.9348856174989832E-14
1.0E-10                  100                      -4.688803548135848E-14
1.0E-10                  101                      -8.511380914908083E-14
1.0E-10                  102                      -1.322931218103352E-13
1.0E-10                  103                      -1.782539915927959E-13
1.0E-10                  104                      -2.0669498036584775E-13
1.0E-10                  105                      -1.9097867234255203E-13
1.0E-10                  106                      -9.4944045531517E-14
1.0E-10                  107                      9.12749466681728E-14
1.0E-10                  108                      4.0808090261855613E-13
1.0E-10                  109                      8.988049717580359E-13
1.0E-10                  110                      1.6062339814718304E-12
1.0E-10                  111                      2.573048487526654E-12
1.0E-10                  112                      3.773097172497551E-12
1.0E-10                  113                      4.978729620267852E-12
1.0E-10                  114                      5.867342971232783E-12
1.0E-10                  115                      6.1104209136755285E-12
1.0E-10                  116                      5.199085044515919E-12
1.0E-10                  117                      2.5689715823711044E-12
1.0E-10                  118                      -2.0933131634532516E-12
1.0E-10                  119                      -9.591584833505141E-12
1.0E-10                  120                      -2.0791758374937885E-11
1.0E-10                  121                      -3.6631463862815603E-11
1.0E-10                  122                      -5.8067852682135203E-11
1.0E-10                  123                      -8.593043607902577E-11
1.0E-10                  124                      -1.2029126831738004E-10
1.0E-10                  125                      -1.5963071831413462E-10
1.0E-10                  126                      -1.9762565428031153E-10
1.0E-10                  127                      -2.2644575350208364E-10
1.0E-10                  128                      -2.371239504932441E-10
1.0E-10                  129                      -2.2197041144576282E-10
1.0E-10                  130                      -1.6776894242029233E-10
1.0E-10                  131                      -5.113473766767044E-11
1.0E-10                  132                      1.3525269485044146E-10
1.0E-10                  133                      4.19688017362587E-10
1.0E-10                  134                      8.325837554267516E-10
1.0E-10                  135                      1.4078558010543125E-9
1.0E-10                  136                      2.1925484603881955E-9
1.0E-10                  137                      3.245865012562981E-9
1.0E-10                  138                      4.621600174382971E-9
1.0E-10                  139                      6.388319613721412E-9
1.0E-10                  140                      8.63228972923692E-9
1.0E-10                  141                      1.1465510758086745E-8
1.0E-10                  142                      1.497775080632223E-8
1.0E-10                  143                      1.9277165205659825E-8
1.0E-10                  144                      2.4497164475224507E-8
1.0E-10                  145                      3.0780170804018956E-8
1.0E-10                  146                      3.829195512229915E-8
1.0E-10                  147                      4.720991038500031E-8
1.0E-10                  148                      5.7723979445899284E-8
1.0E-10                  149                      7.0055400912203E-8
1.0E-10                  150                      8.443242488801523E-8
1.0E-10                  151                      1.0109606975984953E-7
1.0E-10                  152                      1.2031907118803043E-7
1.0E-10                  153                      1.424837090882487E-7
1.0E-10                  154                      1.6789345977630983E-7
1.0E-10                  155                      1.9677699650522254E-7
