% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:37
% Table:              Table 61 - np_retention_mass_lowPM (np_retention_mass_lowPM)
% lowPM_per              t (s)                    np_retention_mass_lowPM (mol/m)
1.0E-14                  0                        1.1201710274618988E-13
1.0E-14                  1                        2.8892754049373726E-12
1.0E-14                  2                        -2.005070510051885E-10
1.0E-14                  3                        9.03578262638572E-10
1.0E-14                  4                        -1.680715488111966E-9
1.0E-14                  5                        -1.85924690455101E-8
1.0E-14                  6                        -2.996394891028624E-8
1.0E-14                  7                        -3.4757422472175718E-9
1.0E-14                  8                        8.893634387216768E-8
1.0E-14                  9                        2.433620307407386E-7
1.0E-14                  10                       4.906116849287727E-7
1.0E-14                  11                       8.205555039344146E-7
1.0E-14                  12                       1.2267328121580183E-6
1.0E-14                  13                       1.7034964734003343E-6
1.0E-14                  14                       2.230372545926642E-6
1.0E-14                  15                       2.8079226145872377E-6
1.0E-14                  16                       3.4289912645625715E-6
1.0E-14                  17                       4.081299376390087E-6
1.0E-14                  18                       4.7668501884220945E-6
1.0E-14                  19                       5.4794473389686796E-6
1.0E-14                  20                       6.21437702102929E-6
1.0E-14                  21                       6.973703334304203E-6
1.0E-14                  22                       7.750743465732646E-6
1.0E-14                  23                       8.54101797859012E-6
1.0E-14                  24                       9.350315388386206E-6
1.0E-14                  25                       1.0172966541787505E-5
1.0E-14                  26                       1.1007761252580337E-5
1.0E-14                  27                       1.185257993425324E-5
1.0E-14                  28                       1.2707338356031778E-5
1.0E-14                  29                       1.3571400535601225E-5
1.0E-14                  30                       1.4446146158977391E-5
1.0E-14                  31                       1.5330246723393083E-5
1.0E-14                  32                       1.622148581913055E-5
1.0E-14                  33                       1.7121229018848442E-5
1.0E-14                  34                       1.802969925306522E-5
1.0E-14                  35                       1.894758314602326E-5
1.0E-14                  36                       1.9872037035876873E-5
1.0E-14                  37                       2.0801096914568486E-5
1.0E-14                  38                       2.174068978163945E-5
1.0E-14                  39                       2.2688459639594422E-5
1.0E-14                  40                       2.3642086759602823E-5
1.0E-14                  41                       2.4605519234048633E-5
1.0E-14                  42                       2.557882686121044E-5
1.0E-14                  43                       2.6560017567732733E-5
1.0E-14                  44                       2.755259233815746E-5
1.0E-14                  45                       2.8558761170515967E-5
1.0E-14                  46                       2.9575024773423846E-5
1.0E-14                  47                       3.0603529728344866E-5
