% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:31
% Table:              tce_outflow_concentration0.02 - tce_outflow_concentraion (tce_outflow_concentraion)
% lowPM_per              t (s)                    tce_outflow_concentraion (mol/(m*s))
1.0E-12                  0                        1.1164876454314259E-14
1.0E-12                  1                        2.2028579956374606E-11
1.0E-12                  2                        -2.3445327761745755E-10
1.0E-12                  3                        1.4794004386052273E-9
1.0E-12                  4                        1.0470997588346174E-8
1.0E-12                  5                        2.7127223262823716E-8
1.0E-12                  6                        4.7744958806496586E-8
1.0E-12                  7                        6.897898417697084E-8
1.0E-12                  8                        8.875530197139668E-8
1.0E-12                  9                        1.0641804071983179E-7
1.0E-12                  10                       1.2212511422940898E-7
1.0E-12                  11                       1.360822657108855E-7
1.0E-12                  12                       1.4850789604857608E-7
1.0E-12                  13                       1.5966391121315503E-7
1.0E-12                  14                       1.6980492102971747E-7
1.0E-12                  15                       1.7914001013880388E-7
1.0E-12                  16                       1.8782826137107455E-7
1.0E-12                  17                       1.9600109034842067E-7
1.0E-12                  18                       2.0376053869411268E-7
1.0E-12                  19                       2.111878888998716E-7
1.0E-12                  20                       2.1834051041598853E-7
1.0E-12                  21                       2.252550205285817E-7
1.0E-12                  22                       2.3195540663528438E-7
1.0E-12                  23                       2.384607057544051E-7
1.0E-12                  24                       2.447886935253915E-7
1.0E-12                  25                       2.5097752976959214E-7
1.0E-12                  26                       2.570272845663693E-7
1.0E-12                  27                       2.62924183462291E-7
1.0E-12                  28                       2.6867520655556337E-7
1.0E-12                  29                       2.742826693289546E-7
1.0E-12                  30                       2.797756561946142E-7
1.0E-12                  31                       2.8516184314531095E-7
1.0E-12                  32                       2.90472432881397E-7
1.0E-12                  33                       2.957328633694972E-7
1.0E-12                  34                       3.009545028410864E-7
1.0E-12                  35                       3.061664106304052E-7
1.0E-12                  36                       3.11371533850083E-7
1.0E-12                  37                       3.165800684406784E-7
1.0E-12                  38                       3.2179312382344924E-7
1.0E-12                  39                       3.27005552263053E-7
1.0E-12                  40                       3.322093422323811E-7
1.0E-12                  41                       3.373873067171227E-7
1.0E-12                  42                       3.425308928675742E-7
1.0E-12                  43                       3.476103132674168E-7
1.0E-12                  44                       3.5260977521051533E-7
1.0E-12                  45                       3.5750899765243157E-7
1.0E-12                  46                       3.6226405241701645E-7
