% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:56
% Table:              tce_outflow_concentration4 - tce_outflow_concentraion (tce_outflow_concentraion)
% lowPM_per              t (s)                    tce_outflow_concentraion (mol/(m*s))
1.0E-14                  0                        1.1383345011908277E-14
1.0E-14                  1                        2.21216923808608E-11
1.0E-14                  2                        -2.3215151431856274E-10
1.0E-14                  3                        1.4844408676353845E-9
1.0E-14                  4                        1.0390597956051874E-8
1.0E-14                  5                        2.6815041099558475E-8
1.0E-14                  6                        4.705441923325503E-8
1.0E-14                  7                        6.779070761157285E-8
1.0E-14                  8                        8.698718256736991E-8
1.0E-14                  9                        1.0401975543189638E-7
1.0E-14                  10                       1.1906959301496837E-7
1.0E-14                  11                       1.3235442662450895E-7
1.0E-14                  12                       1.441026086388709E-7
1.0E-14                  13                       1.5458102957893908E-7
1.0E-14                  14                       1.640441239788791E-7
1.0E-14                  15                       1.7269890108154663E-7
1.0E-14                  16                       1.8070364987918544E-7
1.0E-14                  17                       1.881905135717992E-7
1.0E-14                  18                       1.952621521354839E-7
1.0E-14                  19                       2.0200048146942408E-7
1.0E-14                  20                       2.0846284401022977E-7
1.0E-14                  21                       2.1468574192333675E-7
1.0E-14                  22                       2.2069317500650953E-7
1.0E-14                  23                       2.265041208681301E-7
1.0E-14                  24                       2.3213630839557324E-7
1.0E-14                  25                       2.3762856867318612E-7
1.0E-14                  26                       2.429808016802947E-7
1.0E-14                  27                       2.481801032206082E-7
1.0E-14                  28                       2.5323321198399135E-7
1.0E-14                  29                       2.581424978479842E-7
1.0E-14                  30                       2.6293723294554247E-7
1.0E-14                  31                       2.676253100251557E-7
1.0E-14                  32                       2.7223775333826235E-7
1.0E-14                  33                       2.7680038096595615E-7
1.0E-14                  34                       2.813242087514485E-7
1.0E-14                  35                       2.8583789837348787E-7
1.0E-14                  36                       2.9034386614548007E-7
1.0E-14                  37                       2.948514393928086E-7
1.0E-14                  38                       2.993591714111087E-7
1.0E-14                  39                       3.038612816051637E-7
1.0E-14                  40                       3.083474065657516E-7
1.0E-14                  41                       3.1279841764065885E-7
1.0E-14                  42                       3.1720541198672615E-7
1.0E-14                  43                       3.2153821873103115E-7
1.0E-14                  44                       3.257824994718897E-7
1.0E-14                  45                       3.299196114002418E-7
1.0E-14                  46                       3.3391294555481494E-7
1.0E-14                  47                       3.3775937664298455E-7
1.0E-14                  48                       3.414324913000562E-7
1.0E-14                  49                       3.449177275340446E-7
1.0E-14                  50                       3.482101487674154E-7
1.0E-14                  51                       3.512993534081671E-7
1.0E-14                  52                       3.5418968584002565E-7
1.0E-14                  53                       3.568819498800032E-7
1.0E-14                  54                       3.5939201861039905E-7
1.0E-14                  55                       3.6172586143891534E-7
1.0E-14                  56                       3.6390176374232375E-7
1.0E-14                  57                       3.6592790290835443E-7
1.0E-14                  58                       3.678282708010016E-7
1.0E-14                  59                       3.696302027651197E-7
1.0E-14                  60                       3.7135478654102466E-7
1.0E-14                  61                       3.730225611064004E-7
1.0E-14                  62                       3.7465832561857075E-7
1.0E-14                  63                       3.762881620298205E-7
1.0E-14                  64                       3.779215203709935E-7
1.0E-14                  65                       3.7955163595672883E-7
1.0E-14                  66                       3.8116976406803565E-7
1.0E-14                  67                       3.8277377865047585E-7
1.0E-14                  68                       3.8429286032120157E-7
1.0E-14                  69                       3.858384338490258E-7
1.0E-14                  70                       3.8744213728310155E-7
1.0E-14                  71                       3.8891215238887757E-7
