% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:50
% Table:              TCE_reacted lg = 0 - tce_reacted_mass (tce_reacted_mass)
% lowPM_per              t (s)                    The reacted TCE (mol/m)
1.0E-10                  0                        1.5857102941770964E-6
1.0E-10                  1                        1.5857103606322188E-6
1.0E-10                  2                        1.5857080911632607E-6
1.0E-10                  3                        1.585720614514886E-6
1.0E-10                  4                        1.5859935440144377E-6
1.0E-10                  5                        1.5870106158080708E-6
1.0E-10                  6                        1.5892472430091087E-6
1.0E-10                  7                        1.5930039891493935E-6
1.0E-10                  8                        1.5984186082360128E-6
1.0E-10                  9                        1.6054880850242141E-6
1.0E-10                  10                       1.6141427912313317E-6
1.0E-10                  11                       1.624266566574492E-6
1.0E-10                  12                       1.6357272113226374E-6
1.0E-10                  13                       1.648401493121448E-6
1.0E-10                  14                       1.6621639092278457E-6
1.0E-10                  15                       1.6769139239698347E-6
1.0E-10                  16                       1.6925625977398446E-6
1.0E-10                  17                       1.7090069169078374E-6
1.0E-10                  18                       1.7262085870906262E-6
1.0E-10                  19                       1.744126080963492E-6
1.0E-10                  20                       1.7626878078894469E-6
1.0E-10                  21                       1.7818691766892898E-6
1.0E-10                  22                       1.8016294391952017E-6
1.0E-10                  23                       1.8219213285322905E-6
1.0E-10                  24                       1.842723594949047E-6
1.0E-10                  25                       1.864010574638058E-6
1.0E-10                  26                       1.885749663523356E-6
1.0E-10                  27                       1.907921502462233E-6
1.0E-10                  28                       1.9305097976807988E-6
1.0E-10                  29                       1.9534908816370046E-6
1.0E-10                  30                       1.9768465097647296E-6
1.0E-10                  31                       2.000566098600164E-6
1.0E-10                  32                       2.0246317798807942E-6
1.0E-10                  33                       2.0490260054800436E-6
1.0E-10                  34                       2.073742081546137E-6
1.0E-10                  35                       2.0987661464685523E-6
1.0E-10                  36                       2.1240822937835247E-6
1.0E-10                  37                       2.149685970210616E-6
1.0E-10                  38                       2.175566148278935E-6
1.0E-10                  39                       2.2017100778944478E-6
1.0E-10                  40                       2.228112918613397E-6
1.0E-10                  41                       2.254766335944188E-6
1.0E-10                  42                       2.281659948659869E-6
1.0E-10                  43                       2.3087886403462333E-6
1.0E-10                  44                       2.336146099147001E-6
1.0E-10                  45                       2.363723781131455E-6
1.0E-10                  46                       2.39151143826479E-6
1.0E-10                  47                       2.419505336486386E-6
1.0E-10                  48                       2.4477074491409477E-6
1.0E-10                  49                       2.476103103694827E-6
1.0E-10                  50                       2.5046961611345053E-6
1.0E-10                  51                       2.5334840509407054E-6
1.0E-10                  52                       2.5624480138705227E-6
1.0E-10                  53                       2.591597714896928E-6
1.0E-10                  54                       2.6209217638257614E-6
1.0E-10                  55                       2.6504142932431816E-6
1.0E-10                  56                       2.680080674563148E-6
1.0E-10                  57                       2.709903067530238E-6
1.0E-10                  58                       2.739888477845151E-6
1.0E-10                  59                       2.7700330729245825E-6
1.0E-10                  60                       2.8003264362267506E-6
1.0E-10                  61                       2.830774424338213E-6
1.0E-10                  62                       2.8613678919756167E-6
1.0E-10                  63                       2.8921053259038472E-6
1.0E-10                  64                       2.922988876635698E-6
1.0E-10                  65                       2.9540062960115967E-6
1.0E-10                  66                       2.9851632811162137E-6
1.0E-10                  67                       3.0164554172772604E-6
1.0E-10                  68                       3.0478765598720232E-6
1.0E-10                  69                       3.079430609466638E-6
1.0E-10                  70                       3.1111090172088798E-6
1.0E-10                  71                       3.142912597258726E-6
1.0E-10                  72                       3.1748414840748512E-6
1.0E-10                  73                       3.2068868225486194E-6
1.0E-10                  74                       3.2390529940495383E-6
1.0E-10                  75                       3.2713352784809663E-6
1.0E-10                  76                       3.3037300358176375E-6
