% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:33
% Table:              TCE_reacted 0.02 - tce_reacted_mass (tce_reacted_mass)
% lowPM_per              t (s)                    The reacted TCE (mol/m)
1.0E-12                  0                        1.5857102941617416E-6
1.0E-12                  1                        1.5857103605698889E-6
1.0E-12                  2                        1.585709101896068E-6
1.0E-12                  3                        1.5857157933533122E-6
1.0E-12                  4                        1.5858473659791812E-6
1.0E-12                  5                        1.5862948251092968E-6
1.0E-12                  6                        1.5872022036276396E-6
1.0E-12                  7                        1.5886155602635745E-6
1.0E-12                  8                        1.5905210483503601E-6
1.0E-12                  9                        1.5928728836190858E-6
1.0E-12                  10                       1.5956145282845999E-6
1.0E-12                  11                       1.598707072699115E-6
1.0E-12                  12                       1.6021118385849578E-6
1.0E-12                  13                       1.6057952140080931E-6
1.0E-12                  14                       1.6097294843362111E-6
1.0E-12                  15                       1.6138923210632595E-6
1.0E-12                  16                       1.618265775432268E-6
1.0E-12                  17                       1.6228349565496434E-6
1.0E-12                  18                       1.6275887535039527E-6
1.0E-12                  19                       1.632518052437647E-6
1.0E-12                  20                       1.6376153105850652E-6
1.0E-12                  21                       1.6428741249751544E-6
1.0E-12                  22                       1.6482888393014665E-6
1.0E-12                  23                       1.6538543344505784E-6
1.0E-12                  24                       1.6595659453013682E-6
1.0E-12                  25                       1.6654174603039523E-6
1.0E-12                  26                       1.6714077569665446E-6
1.0E-12                  27                       1.677532163211324E-6
1.0E-12                  28                       1.683788211222627E-6
1.0E-12                  29                       1.6901724978048134E-6
1.0E-12                  30                       1.6966797824808326E-6
1.0E-12                  31                       1.7033099699570637E-6
1.0E-12                  32                       1.7100595582819501E-6
1.0E-12                  33                       1.7169271788177397E-6
1.0E-12                  34                       1.723912183481741E-6
1.0E-12                  35                       1.7310134217641231E-6
1.0E-12                  36                       1.73823103732772E-6
1.0E-12                  37                       1.7455648043381996E-6
1.0E-12                  38                       1.7530148233406488E-6
1.0E-12                  39                       1.7605810457203823E-6
1.0E-12                  40                       1.7682633734423338E-6
1.0E-12                  41                       1.7760611424931202E-6
1.0E-12                  42                       1.7839739172597947E-6
1.0E-12                  43                       1.7919999005893342E-6
1.0E-12                  44                       1.8001375667622264E-6
1.0E-12                  45                       1.8083852207959514E-6
1.0E-12                  46                       1.8167377859730004E-6
1.0E-12                  47                       1.8251940193261436E-6
1.0E-12                  48                       1.8337486925945857E-6
1.0E-12                  49                       1.8423960727538827E-6
1.0E-12                  50                       1.851133462561213E-6
1.0E-12                  51                       1.8599522329417494E-6
1.0E-12                  52                       1.8688486607500914E-6
1.0E-12                  53                       1.877817656706698E-6
1.0E-12                  54                       1.8868493774205232E-6
1.0E-12                  55                       1.8959427421172914E-6
1.0E-12                  56                       1.905090104334946E-6
1.0E-12                  57                       1.9142858460836828E-6
1.0E-12                  58                       1.923527966398021E-6
1.0E-12                  59                       1.9328109123040596E-6
1.0E-12                  60                       1.942130244446678E-6
1.0E-12                  61                       1.951483033467383E-6
1.0E-12                  62                       1.9608668405864205E-6
1.0E-12                  63                       1.9702797921443886E-6
1.0E-12                  64                       1.979720519974538E-6
1.0E-12                  65                       1.9891883332053245E-6
1.0E-12                  66                       1.998682708148183E-6
1.0E-12                  67                       2.008203036371978E-6
1.0E-12                  68                       2.017758979423368E-6
1.0E-12                  69                       2.027330549033057E-6
1.0E-12                  70                       2.0369231690215794E-6
1.0E-12                  71                       2.0465402910216565E-6
1.0E-12                  72                       2.0561787376350665E-6
1.0E-12                  73                       2.0658420694953786E-6
1.0E-12                  74                       2.075529591437916E-6
1.0E-12                  75                       2.0852408284959E-6
1.0E-12                  76                       2.0949763345912283E-6
1.0E-12                  77                       2.1047348399500713E-6
1.0E-12                  78                       2.114514867789791E-6
1.0E-12                  79                       2.124315905851112E-6
1.0E-12                  80                       2.134137709245669E-6
1.0E-12                  81                       2.1439799713566123E-6
1.0E-12                  82                       2.1538423682560487E-6
1.0E-12                  83                       2.1637247307888797E-6
1.0E-12                  84                       2.1736270370537675E-6
1.0E-12                  85                       2.1835492650774813E-6
1.0E-12                  86                       2.1934912691200845E-6
1.0E-12                  87                       2.2034527310212435E-6
1.0E-12                  88                       2.2134333337679713E-6
1.0E-12                  89                       2.22343230200312E-6
1.0E-12                  90                       2.2334483029578094E-6
1.0E-12                  91                       2.2434799421447377E-6
1.0E-12                  92                       2.2535258950249495E-6
1.0E-12                  93                       2.2635848597749005E-6
1.0E-12                  94                       2.27365547976544E-6
1.0E-12                  95                       2.283736322342232E-6
1.0E-12                  96                       2.2938258592253665E-6
