% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:51
% Table:              tce_retention_mass_1 - tce_outflow_mass_Inte (tce_outflow_Inte)
% lowPM_per              t (s)                    tce_retention_mass (mol/m)
1.0E-11                  0                        2.3439428970580364E-4
1.0E-11                  1                        2.3439428761857828E-4
1.0E-11                  2                        2.3439435171156587E-4
1.0E-11                  3                        2.3439411276888672E-4
1.0E-11                  4                        2.3438822764519803E-4
1.0E-11                  5                        2.343674307140407E-4
1.0E-11                  6                        2.3432404551857898E-4
1.0E-11                  7                        2.342547744977124E-4
1.0E-11                  8                        2.3415913782100727E-4
1.0E-11                  9                        2.3403836728905147E-4
1.0E-11                  10                       2.338944715819817E-4
1.0E-11                  11                       2.3372898295476925E-4
1.0E-11                  12                       2.3354350706145506E-4
1.0E-11                  13                       2.3333950322932713E-4
1.0E-11                  14                       2.3311819452661453E-4
1.0E-11                  15                       2.3288056409876656E-4
1.0E-11                  16                       2.3262739992827938E-4
1.0E-11                  17                       2.3235935899733353E-4
1.0E-11                  18                       2.3207696834027792E-4
1.0E-11                  19                       2.3178066198605227E-4
1.0E-11                  20                       2.3147082134555562E-4
1.0E-11                  21                       2.3114777962560042E-4
1.0E-11                  22                       2.3081183147728517E-4
1.0E-11                  23                       2.3046332166088852E-4
1.0E-11                  24                       2.3010240857914742E-4
1.0E-11                  25                       2.297293842362528E-4
1.0E-11                  26                       2.293443155126448E-4
1.0E-11                  27                       2.2894756147988663E-4
1.0E-11                  28                       2.285392977311086E-4
1.0E-11                  29                       2.2811966127857537E-4
1.0E-11                  30                       2.2768893118889808E-4
1.0E-11                  31                       2.2724714671417946E-4
1.0E-11                  32                       2.2679446114903928E-4
1.0E-11                  33                       2.2633102264737613E-4
1.0E-11                  34                       2.2585685092665902E-4
1.0E-11                  35                       2.253720724819789E-4
1.0E-11                  36                       2.2487674155318083E-4
1.0E-11                  37                       2.243709051463651E-4
1.0E-11                  38                       2.2385465938980255E-4
1.0E-11                  39                       2.2332802097681074E-4
1.0E-11                  40                       2.2279104802243788E-4
1.0E-11                  41                       2.2224380102474253E-4
1.0E-11                  42                       2.2168628992430238E-4
1.0E-11                  43                       2.2111856972052596E-4
1.0E-11                  44                       2.205406692561726E-4
1.0E-11                  45                       2.199526138989474E-4
1.0E-11                  46                       2.1935446941467415E-4
1.0E-11                  47                       2.187462624170885E-4
1.0E-11                  48                       2.1812805181620993E-4
1.0E-11                  49                       2.1749995589614301E-4
1.0E-11                  50                       2.1686201635641046E-4
1.0E-11                  51                       2.162144032930441E-4
1.0E-11                  52                       2.1555727282697885E-4
1.0E-11                  53                       2.1489074745929804E-4
1.0E-11                  54                       2.1421519510473371E-4
1.0E-11                  55                       2.1353074904313735E-4
1.0E-11                  56                       2.1283772481581773E-4
1.0E-11                  57                       2.121366251956036E-4
1.0E-11                  58                       2.1142759021941371E-4
1.0E-11                  59                       2.1071122006033772E-4
1.0E-11                  60                       2.0998789903736633E-4
1.0E-11                  61                       2.0925795272324819E-4
1.0E-11                  62                       2.085221691499085E-4
1.0E-11                  63                       2.0778073296516666E-4
1.0E-11                  64                       2.070342151095526E-4
1.0E-11                  65                       2.0628330030107532E-4
1.0E-11                  66                       2.0552815303365437E-4
1.0E-11                  67                       2.0476949514353847E-4
1.0E-11                  68                       2.0400767317184935E-4
1.0E-11                  69                       2.0324301397914624E-4
1.0E-11                  70                       2.024761835009224E-4
1.0E-11                  71                       2.017072859622012E-4
1.0E-11                  72                       2.0093675455399728E-4
1.0E-11                  73                       2.0016469022878934E-4
1.0E-11                  74                       1.993918656573614E-4
1.0E-11                  75                       1.986183179152502E-4
1.0E-11                  76                       1.9784408067787887E-4
1.0E-11                  77                       1.970693204512539E-4
1.0E-11                  78                       1.9629422648739399E-4
1.0E-11                  79                       1.955189698364285E-4
1.0E-11                  80                       1.9474370082359224E-4
1.0E-11                  81                       1.939685475235956E-4
1.0E-11                  82                       1.9319355946499224E-4
1.0E-11                  83                       1.9241892388188059E-4
1.0E-11                  84                       1.9164482976969483E-4
1.0E-11                  85                       1.9087138181310946E-4
1.0E-11                  86                       1.9009864737852143E-4
1.0E-11                  87                       1.8932667864529848E-4
1.0E-11                  88                       1.8855552405693337E-4
1.0E-11                  89                       1.8778522718542652E-4
1.0E-11                  90                       1.8701582378545924E-4
1.0E-11                  91                       1.8624734299775415E-4
1.0E-11                  92                       1.85479809941899E-4
1.0E-11                  93                       1.8471324735464068E-4
1.0E-11                  94                       1.8394767622434841E-4
1.0E-11                  95                       1.8318311586596123E-4
1.0E-11                  96                       1.824195840036272E-4
1.0E-11                  97                       1.8165709692974448E-4
1.0E-11                  98                       1.808956697863966E-4
1.0E-11                  99                       1.8013531686078945E-4
1.0E-11                  100                      1.7937602771946585E-4
1.0E-11                  101                      1.7861782164444058E-4
1.0E-11                  102                      1.7786075304089403E-4
1.0E-11                  103                      1.771048684873565E-4
1.0E-11                  104                      1.763502003288296E-4
1.0E-11                  105                      1.7559676821948177E-4
1.0E-11                  106                      1.748445850103408E-4
1.0E-11                  107                      1.740936621646865E-4
1.0E-11                  108                      1.7334401280179692E-4
1.0E-11                  109                      1.7259565228182805E-4
1.0E-11                  110                      1.7184859802357142E-4
1.0E-11                  111                      1.7110286984697645E-4
1.0E-11                  112                      1.703584912909789E-4
1.0E-11                  113                      1.6961548937510277E-4
1.0E-11                  114                      1.6887389428237308E-4
1.0E-11                  115                      1.681337399767989E-4
1.0E-11                  116                      1.6739506338011337E-4
1.0E-11                  117                      1.666579039163125E-4
1.0E-11                  118                      1.659223141278865E-4
1.0E-11                  119                      1.6518833532290538E-4
1.0E-11                  120                      1.6445602080485187E-4
1.0E-11                  121                      1.6372539525310342E-4
1.0E-11                  122                      1.6299656883308355E-4
1.0E-11                  123                      1.6226955158834798E-4
1.0E-11                  124                      1.6154442137283906E-4
1.0E-11                  125                      1.6082123205576407E-4
1.0E-11                  126                      1.6010000808290377E-4
1.0E-11                  127                      1.593808251867197E-4
1.0E-11                  128                      1.586636922620194E-4
1.0E-11                  129                      1.5794865480937275E-4
1.0E-11                  130                      1.5723578227087582E-4
1.0E-11                  131                      1.565250765224012E-4
1.0E-11                  132                      1.558165291972238E-4
1.0E-11                  133                      1.5511019847643721E-4
1.0E-11                  134                      1.5440611123597266E-4
1.0E-11                  135                      1.5370423514304583E-4
1.0E-11                  136                      1.5300460564733511E-4
1.0E-11                  137                      1.5230732331043928E-4
1.0E-11                  138                      1.5161232279219607E-4
1.0E-11                  139                      1.5091960409260532E-4
1.0E-11                  140                      1.5022929448359852E-4
1.0E-11                  141                      1.495413276846906E-4
1.0E-11                  142                      1.4885570274463935E-4
1.0E-11                  143                      1.4817247065706694E-4
1.0E-11                  144                      1.474916333464446E-4
1.0E-11                  145                      1.468131744182092E-4
1.0E-11                  146                      1.461370990331699E-4
1.0E-11                  147                      1.4546341428449871E-4
1.0E-11                  148                      1.447921147355068E-4
1.0E-11                  149                      1.441231968002125E-4
1.0E-11                  150                      1.4345662751468963E-4
1.0E-11                  151                      1.4279242570053197E-4
1.0E-11                  152                      1.4213059135773955E-4
1.0E-11                  153                      1.4147102210785963E-4
1.0E-11                  154                      1.40813744203507E-4
1.0E-11                  155                      1.4015877373644976E-4
1.0E-11                  156                      1.3950611070668816E-4
1.0E-11                  157                      1.3885575511422195E-4
1.0E-11                  158                      1.3820770695905139E-4
1.0E-11                  159                      1.375619236221226E-4
1.0E-11                  160                      1.3691828627009693E-4
