% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:32
% Table:              tce_retention_mass_0.02 - tce_outflow_mass_Inte (tce_outflow_Inte)
% lowPM_per              t (s)                    tce_retention_mass (mol/m)
1.0E-12                  0                        2.3439428970580456E-4
1.0E-12                  1                        2.3439428739162506E-4
1.0E-12                  2                        2.3439435029204875E-4
1.0E-12                  3                        2.3439407661446783E-4
1.0E-12                  4                        2.3438855780744163E-4
1.0E-12                  5                        2.343697108590332E-4
1.0E-12                  6                        2.3433138048465103E-4
1.0E-12                  7                        2.3427153955808068E-4
1.0E-12                  8                        2.3419069763695692E-4
1.0E-12                  9                        2.3409072935699223E-4
1.0E-12                  10                       2.3397398353680135E-4
1.0E-12                  11                       2.3384208733380317E-4
1.0E-12                  12                       2.3369666356568177E-4
1.0E-12                  13                       2.3353912571550387E-4
1.0E-12                  14                       2.3337063985897721E-4
1.0E-12                  15                       2.3319214441460537E-4
1.0E-12                  16                       2.3300439240881568E-4
1.0E-12                  17                       2.3280800765601039E-4
1.0E-12                  18                       2.3260345538711144E-4
1.0E-12                  19                       2.3239111709714137E-4
1.0E-12                  20                       2.321713080048389E-4
1.0E-12                  21                       2.319442947213011E-4
1.0E-12                  22                       2.31710311612812E-4
1.0E-12                  23                       2.314695696887924E-4
1.0E-12                  24                       2.3122226032128455E-4
1.0E-12                  25                       2.3096863605820273E-4
1.0E-12                  26                       2.307087424721682E-4
1.0E-12                  27                       2.3044276961804952E-4
1.0E-12                  28                       2.301708189279583E-4
1.0E-12                  29                       2.2989302973761857E-4
1.0E-12                  30                       2.296096186460081E-4
1.0E-12                  31                       2.2932059010151613E-4
1.0E-12                  32                       2.2902608965601946E-4
1.0E-12                  33                       2.2872617549382765E-4
1.0E-12                  34                       2.2842087521441625E-4
1.0E-12                  35                       2.28110239141421E-4
1.0E-12                  36                       2.2779426259641192E-4
1.0E-12                  37                       2.2747295666554007E-4
1.0E-12                  38                       2.2714632042006427E-4
1.0E-12                  39                       2.2681435601322046E-4
1.0E-12                  40                       2.2647706971145326E-4
1.0E-12                  41                       2.2613448968800766E-4
1.0E-12                  42                       2.2578663419283227E-4
1.0E-12                  43                       2.254335775564936E-4
1.0E-12                  44                       2.2507538232887373E-4
1.0E-12                  45                       2.2471211820784972E-4
1.0E-12                  46                       2.2434399419794164E-4
1.0E-12                  47                       2.2397106189766462E-4
1.0E-12                  48                       2.235935373890456E-4
1.0E-12                  49                       2.2321165930779362E-4
1.0E-12                  50                       2.228255402853919E-4
1.0E-12                  51                       2.2243554182402084E-4
1.0E-12                  52                       2.220418223722169E-4
1.0E-12                  53                       2.2164459712888966E-4
1.0E-12                  54                       2.2124428804273354E-4
1.0E-12                  55                       2.2084094359168486E-4
1.0E-12                  56                       2.2043489514705905E-4
1.0E-12                  57                       2.2002639181652802E-4
1.0E-12                  58                       2.1961552254189673E-4
1.0E-12                  59                       2.1920253715705228E-4
1.0E-12                  60                       2.187876390483332E-4
1.0E-12                  61                       2.1837096610969416E-4
1.0E-12                  62                       2.179526358872174E-4
1.0E-12                  63                       2.1753274156211235E-4
1.0E-12                  64                       2.1711135468473915E-4
1.0E-12                  65                       2.1668851489865131E-4
1.0E-12                  66                       2.1626425335474192E-4
1.0E-12                  67                       2.1583860423751188E-4
1.0E-12                  68                       2.1541105148189483E-4
1.0E-12                  69                       2.1498265312403292E-4
1.0E-12                  70                       2.1455313187847342E-4
1.0E-12                  71                       2.1412232120804613E-4
1.0E-12                  72                       2.1369036461139435E-4
1.0E-12                  73                       2.1325710405578353E-4
1.0E-12                  74                       2.1282257414979736E-4
1.0E-12                  75                       2.1238680016331287E-4
1.0E-12                  76                       2.1194975874402568E-4
1.0E-12                  77                       2.1151151020328237E-4
1.0E-12                  78                       2.1107212724229225E-4
1.0E-12                  79                       2.1063163941411088E-4
1.0E-12                  80                       2.1019006192834133E-4
1.0E-12                  81                       2.0974741072769403E-4
1.0E-12                  82                       2.093037019549665E-4
1.0E-12                  83                       2.088589452880373E-4
1.0E-12                  84                       2.0841314426847944E-4
1.0E-12                  85                       2.0796630234248925E-4
1.0E-12                  86                       2.075184279678126E-4
1.0E-12                  87                       2.0706953669010072E-4
1.0E-12                  88                       2.0661964124425204E-4
1.0E-12                  89                       2.0616877485524467E-4
1.0E-12                  90                       2.0571699726739187E-4
1.0E-12                  91                       2.0526437257231683E-4
1.0E-12                  92                       2.0481096213806582E-4
1.0E-12                  93                       2.0435682554331854E-4
1.0E-12                  94                       2.0390202373586305E-4
1.0E-12                  95                       2.0344662041945903E-4
1.0E-12                  96                       2.029906835328509E-4
1.0E-12                  97                       2.025342806622134E-4
1.0E-12                  98                       2.0207748217047585E-4
1.0E-12                  99                       2.0162036596998165E-4
1.0E-12                  100                      2.0116301809080386E-4
1.0E-12                  101                      2.0070553251643337E-4
1.0E-12                  102                      2.0024800967483557E-4
1.0E-12                  103                      1.997906144740536E-4
1.0E-12                  104                      1.993333928837204E-4
1.0E-12                  105                      1.9887649173079252E-4
1.0E-12                  106                      1.9841998704261602E-4
1.0E-12                  107                      1.9796399607283012E-4
1.0E-12                  108                      1.9750871394454608E-4
1.0E-12                  109                      1.970541630313946E-4
1.0E-12                  110                      1.9660049785369827E-4
1.0E-12                  111                      1.9614783659917484E-4
1.0E-12                  112                      1.9569622883964797E-4
1.0E-12                  113                      1.952458132071826E-4
1.0E-12                  114                      1.9479670978073108E-4
1.0E-12                  115                      1.9434900922415358E-4
1.0E-12                  116                      1.9390266886318476E-4
1.0E-12                  117                      1.9345782417162953E-4
1.0E-12                  118                      1.9301457066269785E-4
1.0E-12                  119                      1.9257281810565607E-4
1.0E-12                  120                      1.9213268282185106E-4
1.0E-12                  121                      1.9169437973560078E-4
1.0E-12                  122                      1.9125776092924053E-4
1.0E-12                  123                      1.9082287711509263E-4
1.0E-12                  124                      1.9038997414578857E-4
1.0E-12                  125                      1.899589078258916E-4
1.0E-12                  126                      1.8952968427529557E-4
1.0E-12                  127                      1.8910251677419006E-4
1.0E-12                  128                      1.8867729245004814E-4
1.0E-12                  129                      1.8825401130286932E-4
1.0E-12                  130                      1.8783278063439114E-4
1.0E-12                  131                      1.8741356566030464E-4
1.0E-12                  132                      1.869963547189186E-4
1.0E-12                  133                      1.8658118374528833E-4
1.0E-12                  134                      1.8616805368165917E-4
1.0E-12                  135                      1.8575695372334374E-4
1.0E-12                  136                      1.8534788777737441E-4
1.0E-12                  137                      1.8494085810940406E-4
1.0E-12                  138                      1.845358623785992E-4
