% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:51
% Table:              tce_retention_mass_7 - Global Evaluation 14 (TimeInt)
% lowPM_per              t (s)                    tce_retention_mass (mol/m)
1.0E-17                  0                        2.3439428970580459E-4
1.0E-17                  1                        2.3439428734653642E-4
1.0E-17                  2                        2.343943502988406E-4
1.0E-17                  3                        2.3439407010742474E-4
1.0E-17                  4                        2.3438858108800663E-4
1.0E-17                  5                        2.3436992657359753E-4
1.0E-17                  6                        2.3433211166145647E-4
1.0E-17                  7                        2.3427324113383134E-4
1.0E-17                  8                        2.3419392733675198E-4
1.0E-17                  9                        2.3409611477275414E-4
1.0E-17                  10                       2.3398219419705116E-4
1.0E-17                  11                       2.338538093926303E-4
1.0E-17                  12                       2.3371259326118263E-4
1.0E-17                  13                       2.3355996255435238E-4
1.0E-17                  14                       2.3339708441767084E-4
1.0E-17                  15                       2.332248991337322E-4
1.0E-17                  16                       2.3304416256023604E-4
1.0E-17                  17                       2.3285550217467838E-4
1.0E-17                  18                       2.3265938379134806E-4
1.0E-17                  19                       2.3245619107748828E-4
1.0E-17                  20                       2.3224624058633067E-4
1.0E-17                  21                       2.32029800305093E-4
1.0E-17                  22                       2.3180710598879803E-4
1.0E-17                  23                       2.3157837008801362E-4
1.0E-17                  24                       2.3134378544395639E-4
1.0E-17                  25                       2.3110360693178082E-4
1.0E-17                  26                       2.3085787935216335E-4
1.0E-17                  27                       2.3060679260873538E-4
1.0E-17                  28                       2.3035045028375344E-4
1.0E-17                  29                       2.300889906971683E-4
1.0E-17                  30                       2.2982263048552644E-4
1.0E-17                  31                       2.2955137500019223E-4
1.0E-17                  32                       2.2927536850529223E-4
1.0E-17                  33                       2.2899467043147208E-4
1.0E-17                  34                       2.2870930734060824E-4
1.0E-17                  35                       2.2841932992174392E-4
1.0E-17                  36                       2.2812473476454084E-4
1.0E-17                  37                       2.2782553372281315E-4
1.0E-17                  38                       2.2752173140747883E-4
1.0E-17                  39                       2.2721333238384113E-4
1.0E-17                  40                       2.2690035032698442E-4
1.0E-17                  41                       2.2658282409289892E-4
1.0E-17                  42                       2.2626077663908458E-4
1.0E-17                  43                       2.259342969242352E-4
1.0E-17                  44                       2.2560345340774887E-4
1.0E-17                  45                       2.252683222687547E-4
1.0E-17                  46                       2.2492911640918022E-4
1.0E-17                  47                       2.2458588476130238E-4
1.0E-17                  48                       2.2423883380135004E-4
1.0E-17                  49                       2.2388818287111037E-4
1.0E-17                  50                       2.2353402869428345E-4
1.0E-17                  51                       2.2317668152909347E-4
